Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790088,Y-790088,Official,,1979,Antarctica,H4,3.04 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790089,Y-790089,Official,,1979,Antarctica,H4,3.39 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790090,Y-790090,Official,,1979,Antarctica,H4,4.04 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790091,Y-790091,Official,,1979,Antarctica,H5,2.45 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790092,Y-790092,Official,,1979,Antarctica,H5,2.59 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790093,Y-790093,Official,,1979,Antarctica,H5,2.19 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790094,Y-790094,Official,,1979,Antarctica,H4,3.17 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790095,Y-790095,Official,,1979,Antarctica,H5,2.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790096,Y-790096,Official,,1979,Antarctica,H5,1.63 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790097,Y-790097,Official,,1979,Antarctica,H5,2.46 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790098,Y-790098,Official,,1979,Antarctica,H5,2.26 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790099,Y-790099,Official,,1979,Antarctica,H5,2.68 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790100,Y-790100,Official,,1979,Antarctica,H5,1.88 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790101,Y-790101,Official,,1979,Antarctica,H5,1.57 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790102,Y-790102,Official,,1979,Antarctica,H4,0.89 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790103,Y-790103,Official,,1979,Antarctica,H5,1.19 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790104,Y-790104,Official,,1979,Antarctica,H4,0.94 g,, NIPR,"(-71.500000, 35.666670)  ",,
