name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
northwest africa 13367 **,martian (shergottite),249 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13368 **,martian (nakhlite),1105 g,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 13369 **,martian (shergottite),24.7 g,,2020,0,0,,,2010,"adrar, algeria",N/A,Ocean/Unknown
northwest africa 13370 **,howardite,312 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 13381 **,ck3,1335 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13391,ll5,374 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13392 **,ll5-6,393 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13393,l6,944 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13394 **,ll6-melt breccia,480 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13395 **,eucrite-mmict,736 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13401 **,martian (shergottite),67 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13412 **,cv3,6 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13413 **,howardite,242 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13414 **,l6-melt breccia,648 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13426 **,lunar,137.3 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13429 **,l7,2.02 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13432 **,winonaite,4.46 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13433 **,eucrite-unbr,24.7 kg,,2020,0,0,,,2010,mauritania,N/A,Ocean/Unknown
northwest africa 13434 **,eucrite-melt breccia,123.7 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13435 **,diogenite,277 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13436 **,eucrite-pmict,345 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13437 **,cv3,133.8 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13438 **,co3,63.5 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13442 **,co3.0,127 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13443 **,co3.1,153 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13446 **,achondrite-ung,6.48 kg,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13447 **,h3,269 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13450 **,lunar (feldsp. breccia),629 g,,2020,0,0,,,2010,algeria,N/A,Ocean/Unknown
northwest africa 13457 **,eucrite,11.78 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13461 **,ll5-6,1870 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13462 **,eucrite-melt breccia,277 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13467 **,martian (shergottite),80 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13468 **,r3-6,280 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13469 **,eucrite-melt breccia,27 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13470 **,eucrite,104 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13471 **,eucrite-melt breccia,100 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13474 **,martian (shergottite),218 g,,2020,0,0,,,2010,morocco,N/A,Ocean/Unknown
northwest africa 13476 **,ureilite,251 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13477 **,co3,777 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13478 **,lunar (feldsp. breccia),59 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13479 **,c2-ung,25.9 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13480 **,eucrite-mmict,1495 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13488 **,ck6,39.3 g,,2020,0,0,,,2010,"tarfaya, morocco",N/A,Ocean/Unknown
northwest africa 13494 **,eucrite,64.3 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13495 **,co3,572 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
